meeting,race_number,extreme_outsider,major_incident,interference,injury,abnormal,notes
2026-05-06_ShaTin,6,False,False,False,False,False,
2026-05-06_ShaTin,7,False,False,False,False,False,
2026-05-06_ShaTin,8,False,False,False,False,False,
2026-05-06_ShaTin,9,False,False,False,False,False,
2026-05-09_ShaTin,1,True,False,False,False,False,extreme_outsider: #5 鵲橋飛昇 actual 1／odds 49
2026-05-09_ShaTin,2,False,False,False,False,False,
2026-05-09_ShaTin,3,False,False,False,False,False,
2026-05-09_ShaTin,4,True,False,False,False,False,extreme_outsider: #10 一舖掂晒 actual 1／odds 70
2026-05-09_ShaTin,5,True,True,False,False,False,extreme_outsider: #4 君子 actual 1／odds 158 | major_incident: #3 輝灑自如: 9 3 輝灑自如 (L281) 見習騎師袁幸堯表示，坐騎在閘內煩躁不安，儘管能夠領放，但在該位置下走勢欠佳。她又說，坐騎於直路上對催策毫無反應，表現令人失望。練馬師姚本輝表示，此駒於是賽前的表現令他滿意。他說，他認為此駒未能適應「好至黏地」的場地狀況，尤其是牠陣上走勢欠佳，數度將頭低俯。賽後立即接受獸醫檢查，內窺鏡檢查顯示此駒的氣管內有很多痰。「輝灑自如」上
2026-05-09_ShaTin,6,False,False,True,False,False,interference: #9 開心旺財: 8 9 開心旺財 (L045) 接近三百五十米處時向內斜跑，與「龍傲綾羅」互相觸碰。三百五十米處至二百五十米處之間在靠近「笑必勝」處於窘境之際受困而未能望空。
2026-05-09_ShaTin,7,False,True,False,False,False,major_incident: #1 威武年代: 14 1 威武年代 (J451) 何澤堯表示，坐騎在入直路後受催策並顯著轉弱，但他未能就坐騎令人失望的表現提供任何解釋。賽後立即接受獸醫檢查，並無發現任何明顯異常之處。小組認為與近仗相比，「威武年代」今仗的表現令人失望。「威武年代」必須試閘及格，並且通過獸醫檢驗後，才可再次出賽。
2026-05-09_ShaTin,8,False,False,False,False,False,
2026-05-09_ShaTin,9,False,False,False,False,False,
2026-05-09_ShaTin,10,False,False,False,False,False,
2026-05-09_ShaTin,11,False,False,False,False,False,
2026-05-13_HappyValley,1,False,False,False,False,False,
2026-05-13_HappyValley,2,False,False,False,False,False,
2026-05-13_HappyValley,3,False,False,False,False,False,
2026-05-13_HappyValley,4,False,False,True,False,False,interference: #1 勁進駒: 12 1 勁進駒 (J384) 起步後不久發生碰撞。接近三百五十米處時在「滿洛城」與開始墮退的「翠湖烈風」之間未能望空之際大力勒避。被查詢時，潘頓表示，他獲指示讓坐騎上前及居於預期領放馬「睿智多寶」外側。他說，他催策坐騎上前及將坐騎置於「翠湖烈風」外側，其後等待「翠湖烈風」佔取「睿智多寶」之後有遮擋的位置，因為他察覺到策騎「翠湖烈風」的見習騎師黃寶妮望向她的
2026-05-13_HappyValley,5,False,False,False,False,False,
2026-05-13_HappyValley,6,False,False,False,False,False,
2026-05-13_HappyValley,7,True,True,False,False,False,extreme_outsider: #3 縱橫天下 actual 2／odds 36 | major_incident: #6 銳目: 12 6 銳目 (L068) 接近六百米處時與「福進」互相觸碰，當時「福進」在搶口之際向外斜跑。潘頓表示，他於早段催策坐騎以嘗試佔取前列位置。他說，坐騎今仗展現的前速未如上仗，因而居於較賽前部署為後的位置。他說，坐騎經驗仍然相對較淺，中段沿途未能適應在其他馬匹之間競跑，其後在直路上墮退。賽後立即接受獸醫檢查，並無發現任何明顯異常之處。「銳目」上仗勝出，小組認
2026-05-13_HappyValley,8,False,False,True,False,False,interference: #10 棒棒糖: 9 10 棒棒糖 (J503) 出閘僅屬一般。接近二百米處時在一段短途程上在墮退的「人和家興」之後受困而未能望空。莫雷拉未能就坐騎令人失望的表現提供任何解釋。賽後立即接受獸醫檢查，並無發現任何明顯異常之處。
2026-05-13_HappyValley,9,False,False,True,False,False,interference: #1 勁速威龍: 8 1 勁速威龍 (H380) 自外檔出閘僅屬一般，於早段在馬群之後切入。末段開始以佳勢衝刺之際在「銀亮奔騰」與「非惟僥倖」之間未能望空，因而於最後五十米未能被力策。賽後立即接受獸醫檢查，並無發現任何明顯異常之處。
2026-05-17_ShaTin,1,True,False,False,False,False,extreme_outsider: #7 香港精神 actual 3／odds 50
2026-05-17_ShaTin,2,False,False,False,False,False,
2026-05-17_ShaTin,3,False,False,False,False,False,
2026-05-17_ShaTin,4,False,False,True,False,False,interference: #1 禾道豐: 4 1 禾道豐 (L264) 躍出時在「星光大道」與略為向外斜跑的「你知我寶」之間受擠迫之際失去平衡。四百五十米處至三百五十米處之間受困而未能望空。賽後須抽取樣本檢驗。
2026-05-17_ShaTin,5,False,False,False,False,False,
2026-05-17_ShaTin,6,True,False,False,False,False,extreme_outsider: #11 有備而戰 actual 2／odds 60
2026-05-17_ShaTin,7,False,False,False,False,False,
2026-05-17_ShaTin,8,False,False,False,False,False,
2026-05-17_ShaTin,9,False,False,False,False,False,
2026-05-17_ShaTin,10,False,True,False,False,False,major_incident: #11 正本良心: 14 11 正本良心 (L382) 於起步點被發現口內有血，其後接受獸醫檢查，獸醫認為此駒適宜出賽。在閘內煩躁不安，導致右後腿一度擱在閘廂內，其後被牽出閘廂及再度接受獸醫檢查，獸醫認為此駒適宜出賽。大部分途程在沒有遮擋下走外疊。莫雷拉表示，坐騎於早段及中段沿途走勢良佳，但在直路上受催策時轉弱。賽後立即接受獸醫檢查，並無發現任何明顯異常之處。「正本良心」包尾大
2026-05-17_ShaTin,11,False,False,False,False,False,
2026-05-20_HappyValley,1,False,False,False,False,False,
2026-05-20_HappyValley,2,True,False,False,False,False,extreme_outsider: #8 都靈勇士 actual 3／odds 51
2026-05-20_HappyValley,3,False,False,False,False,False,
2026-05-20_HappyValley,4,False,False,False,False,False,
2026-05-20_HappyValley,5,True,False,False,False,False,extreme_outsider: #5 紅錢到 actual 3／odds 33
2026-05-20_HappyValley,6,False,False,False,False,False,
2026-05-20_HappyValley,7,False,False,False,False,False,
2026-05-20_HappyValley,8,False,False,False,False,False,
2026-05-20_HappyValley,9,True,True,False,False,False,extreme_outsider: #8 維港智能 actual 1／odds 59 | major_incident: #9 俏眼光: 12 9 俏眼光 (L003) 田泰安表示，坐騎出閘僅屬一般，居後列競跑。他說，坐騎在直路上受催策時毫無反應，表現令人失望。練馬師蔡約翰表示，他認為此駒已屆歇暑休賽之時，將會安排此駒休息。賽後立即接受獸醫檢查，並無發現任何明顯異常之處。「俏眼光」上仗勝出，小組認為此駒今仗的表現令人失望。「俏眼光」必須試閘及格，並且通過獸醫檢驗後，才可再次出賽。
2026-05-24_ShaTin,1,False,False,False,False,False,
2026-05-24_ShaTin,2,False,False,True,False,False,interference: #11 華麗再贏: 5 11 華麗再贏 (L087) 在起步點重新裝上左前蹄的蹄鐵，其後接受獸醫檢查，獸醫認為此駒適宜出賽，賽事因而延遲開跑。起步後不久在「隋我同來」與外閃的「嵐臣」之間受擠迫。四百米處至一百五十米處之間受困而未能望空。
2026-05-24_ShaTin,3,True,False,False,False,False,extreme_outsider: #2 巧眼光 actual 2／odds 44 || #14 有你有我 actual 3／odds 41
2026-05-24_ShaTin,4,True,False,False,False,False,extreme_outsider: #11 銀刺勇士 actual 2／odds 49 || #9 北極之錶 actual 3／odds 115
2026-05-24_ShaTin,5,False,False,False,False,False,
2026-05-24_ShaTin,6,False,False,False,True,False,injury: #14 觀萬物: 9 14 觀萬物 (K101) 接近九百米處時收慢避開「方圓星」。潘頓表示，賽事早段及中段步速較標準時間為慢，不利坐騎發揮，坐騎因而在直路上難以追前。賽後立即接受獸醫檢查，發現此駒患有「喘鳴症」，而此駒過往也有此毛病報告。
2026-05-24_ShaTin,7,True,True,False,False,False,extreme_outsider: #13 勁好運 actual 2／odds 61 | major_incident: #2 友瑩光: 14 2 友瑩光 (K564) 起步後不久被「快路」碰撞後軀，因而失去平衡。潘頓表示，坐騎在直路上對催策毫無反應，他擔心坐騎有不妥，遂於接近三百米處時收慢坐騎。練馬師廖康銘表示，此駒於是賽前的表現令他滿意，他未能就此駒今仗的表現提供解釋。賽後立即接受獸醫檢查，並無發現任何明顯異常之處。包尾大敗而回，小組認為此駒的表現難以接受。「友瑩光」必須試閘及格，並且通過
2026-05-24_ShaTin,8,True,False,False,False,False,extreme_outsider: #5 數字天文 actual 2／odds 40
2026-05-24_ShaTin,9,False,False,False,False,False,
2026-05-24_ShaTin,10,False,False,False,False,False,
2026-05-27_HappyValley,1,False,False,False,True,False,injury: #2 魅力星: 10 2 魅力星 (K052) 田泰安表示，坐騎在直路上衝刺僅屬一般，或未能適應「好至快地」的場地狀況。賽後立即接受獸醫檢查，發現此駒患有「喘鳴症」，而此駒過往也有此毛病報告。
2026-05-27_HappyValley,2,True,False,False,False,False,extreme_outsider: #9 美麗多盈 actual 3／odds 36
2026-05-27_HappyValley,3,False,False,False,False,False,
2026-05-27_HappyValley,4,False,False,False,False,False,
2026-05-27_HappyValley,5,False,False,False,False,False,
2026-05-27_HappyValley,7,False,False,False,False,False,
2026-05-27_HappyValley,8,False,False,False,False,False,
2026-05-27_HappyValley,9,True,True,False,False,False,extreme_outsider: #12 椒椒醒 actual 3／odds 118 | major_incident: #7 富心星: 10 7 富心星 (K125) 莫雷拉表示，坐騎直路上在催策下毫無反應，走勢平平。賽後立即接受獸醫檢查，並無發現任何明顯異常之處。小組認為與近仗相比，「富心星」今仗的表現令人失望。「富心星」必須試閘及格，並且通過獸醫檢驗後，才可再次出賽。 || #9 可靠大師: 12 9 可靠大師 (K283) 接近三百米處時在墮退之際內閃，導致騎師潘頓須停止催策並修正坐騎。潘頓表示，坐騎中段在居「富心星」之後時過於搶口，不願穩定走勢。他說，坐騎因而在直路上未能以勁勢衝刺。賽後立即接受獸醫檢查，並無發現任何明顯異常之處。「可靠大師」上仗勝出，小組認為此駒今仗的表現令人失望。「可靠大師」必須試閘及格，並且通過獸醫檢驗後，才可再次出賽。
2026-06-03_HappyValley,1,True,False,False,False,False,extreme_outsider: #12 不假外求 actual 2／odds 38
2026-06-03_HappyValley,2,False,False,False,False,False,
2026-06-03_HappyValley,3,False,True,False,True,False,major_incident: #3 團長好: 10 3 團長好 (K515) 躍出時發生碰撞。莫雷拉未能就坐騎令人失望的表現提供任何解釋。練馬師方嘉柏告知小組，此駒自上仗後的表現令他滿意，他能提供的唯一解釋是賽事早段步速較標準時間略快，或不合此駒發揮。賽後立即接受獸醫檢查，發現此駒患有「喘鳴症」，而此駒過往也有此毛病報告。小組認為與近仗相比，「團長好」今仗的表現令人失望。「團長好」必須試閘及格，並且通過 | injury: #3 團長好: 10 3 團長好 (K515) 躍出時發生碰撞。莫雷拉未能就坐騎令人失望的表現提供任何解釋。練馬師方嘉柏告知小組，此駒自上仗後的表現令他滿意，他能提供的唯一解釋是賽事早段步速較標準時間略快，或不合此駒發揮。賽後立即接受獸醫檢查，發現此駒患有「喘鳴症」，而此駒過往也有此毛病報告。小組認為與近仗相比，「團長好」今仗的表現令人失望。「團長好」必須試閘及格，並且通過
2026-06-03_HappyValley,4,False,True,False,True,False,major_incident: #10 時間寶: 12 10 時間寶 (H403) 潘頓表示，坐騎在領放下走勢暢順，但直路上對催策毫無反應及顯著轉弱。練馬師姚本輝告知小組，此駒自上仗於五月十三日出賽後的表現令他滿意，儘管此駒被發現心律不正常，但同時在領放下受追迫，不利發揮。賽後立即接受獸醫檢查，發現此駒心律不正常。「時間寶」必須試閘及格，並且通過獸醫檢驗後，才可再次出賽。賽後須抽取樣本檢驗。 | injury: #10 時間寶: 12 10 時間寶 (H403) 潘頓表示，坐騎在領放下走勢暢順，但直路上對催策毫無反應及顯著轉弱。練馬師姚本輝告知小組，此駒自上仗於五月十三日出賽後的表現令他滿意，儘管此駒被發現心律不正常，但同時在領放下受追迫，不利發揮。賽後立即接受獸醫檢查，發現此駒心律不正常。「時間寶」必須試閘及格，並且通過獸醫檢驗後，才可再次出賽。賽後須抽取樣本檢驗。
2026-06-03_HappyValley,5,False,False,False,False,False,
2026-06-03_HappyValley,6,False,False,False,False,False,
2026-06-03_HappyValley,7,False,False,False,False,False,
2026-06-03_HappyValley,8,True,False,False,False,False,extreme_outsider: #4 加州動員 actual 3／odds 38
2026-06-07_ShaTin,2,False,False,False,False,False,
2026-06-07_ShaTin,3,False,False,False,False,False,
2026-06-07_ShaTin,4,False,False,False,False,False,
2026-06-07_ShaTin,5,True,False,False,False,False,extreme_outsider: #14 飛躍星伴 actual 1／odds 32
2026-06-07_ShaTin,6,False,False,True,False,False,interference: #9 愛心波: 7 9 愛心波 (L006) 出閘僅屬一般。轉直路彎時受困而未能望空。最後一百米在靠近「金鑽精靈」時再度受困而未能望空。
2026-06-07_ShaTin,7,False,False,False,False,False,
2026-06-07_ShaTin,9,False,False,False,False,False,
2026-06-07_ShaTin,10,False,False,False,False,False,
2026-06-07_ShaTin,11,True,False,False,False,False,extreme_outsider: #8 勁無限 actual 3／odds 83
2026-06-10_HappyValley,1,False,False,False,False,False,
2026-06-10_HappyValley,2,False,False,False,False,False,
2026-06-10_HappyValley,3,False,False,False,False,False,
2026-06-10_HappyValley,4,False,False,False,False,False,
2026-06-10_HappyValley,5,False,False,False,False,False,
2026-06-10_HappyValley,6,False,False,False,False,False,
2026-06-10_HappyValley,7,False,False,False,False,False,
2026-06-10_HappyValley,8,False,False,False,False,False,
2026-06-10_HappyValley,9,False,False,False,False,False,
2026-06-13_ShaTin,1,False,False,False,False,False,
2026-06-13_ShaTin,2,False,False,False,False,False,
2026-06-13_ShaTin,3,False,False,True,False,False,interference: #11 你知我寶: 8 11 你知我寶 (L132) 接近三百五十米處時移至「龍之悅」內側以繼續望空。趨近一百五十米處時在「大勇勝」與向外斜跑的「深心星」之間未能望空之際收慢。此駒因而未能被全力催策至终點。
2026-06-13_ShaTin,4,True,False,True,False,False,extreme_outsider: #3 年年友福 actual 1／odds 49 | interference: #6 超開心: 4 6 超開心 (K260) 四百五十米處至三百米處之間在「新力飆」之後受困而未能望空。
2026-06-13_ShaTin,5,False,False,False,True,False,injury: #5 顯勝高昇: 11 5 顯勝高昇 (K409) 起步後不久向外斜跑，導致騎師須修正坐騎。接近五百米處時收慢避開「葳莉非凡」（奧爾民），當時「葳莉非凡」在尚未充分帶離下向內移入。小組告誡奧爾民須加倍小心。見習騎師黃寶妮表示，坐騎在此宗事件後搶口，因而於接近九百米處時推進至「葳莉非凡」內側，她其後須約束坐騎。她說，策騎指示是讓坐騎領放，但坐騎於早段未能展現足夠前速以做到這點，
2026-06-13_ShaTin,6,False,False,False,False,False,
2026-06-13_ShaTin,7,False,False,False,False,False,
2026-06-13_ShaTin,8,False,False,False,False,False,
2026-06-13_ShaTin,9,True,False,False,False,False,extreme_outsider: #9 德心知遇 actual 3／odds 30
2026-06-13_ShaTin,10,False,False,False,False,False,
2026-06-13_ShaTin,11,False,False,False,False,False,
2026-06-21_ShaTin,1,False,False,False,False,False,
2026-06-21_ShaTin,2,False,False,False,False,False,
2026-06-21_ShaTin,3,False,False,False,False,False,
2026-06-21_ShaTin,4,False,False,False,False,False,
2026-06-21_ShaTin,5,False,False,False,False,False,
2026-06-21_ShaTin,6,True,False,False,False,False,extreme_outsider: #4 手機錶能 actual 3／odds 36
2026-06-21_ShaTin,7,True,False,True,False,False,extreme_outsider: #7 幸運有您 actual 3／odds 74 | interference: #2 精算暴雪: 9 2 精算暴雪 (H368) 被查詢時，艾道拿表示，坐騎自內檔出閘後能夠佔取較近仗略為靠前的位置。他說，坐騎於中段沿途跟隨「手機錶霸」，「小鳥天堂」則居於坐騎外側。他說，儘管他曾考慮讓坐騎自六百米處起向外移出，但他覺得他不能做到這點，因為「小鳥天堂」於該階段居坐騎稍前的位置及走勢良佳。他說，由於他不希望讓坐騎跟隨「好友心得」，他讓坐騎保持居於「手機錶霸」之
2026-06-21_ShaTin,8,True,False,False,False,False,extreme_outsider: #10 千禧龍 actual 1／odds 64 || #1 春風萬里 actual 3／odds 44
2026-06-21_ShaTin,9,False,False,True,False,False,interference: #7 銀亮奔騰: 4 7 銀亮奔騰 (K057) 自大外檔出閘後於早段在馬群之後切入。四百五十米處至三百五十米處之間受困而未能望空。末段在「美麗同享」與「嘉應傳承」之間緊迫競跑。
2026-06-21_ShaTin,10,True,False,False,False,False,extreme_outsider: #4 人和家興 actual 2／odds 66
2026-06-21_ShaTin,11,True,False,False,False,False,extreme_outsider: #9 金勝名駒 actual 2／odds 40
2026-06-27_ShaTin,1,False,True,False,False,False,major_incident: #1 金風萬里: 13 1 金風萬里 (K150) 出閘僅屬一般。田泰安表示，坐騎走勢欠順，中段沿途未能穩定走勢。他說，坐騎因而在直路上未能以勁勢衝刺。練馬師桂福特告知小組，此駒於是賽前的表現令他滿意，而他未能就此駒令人失望的表現提供任何解釋。賽後立即接受獸醫檢查，並無發現任何明顯異常之處。小組認為與上仗相比，「金風萬里」今仗的表現令人失望。「金風萬里」必須試閘及格，並且通過
2026-06-27_ShaTin,2,False,False,False,False,False,
2026-06-27_ShaTin,3,False,False,False,False,False,
2026-06-27_ShaTin,4,False,False,False,False,False,
2026-06-27_ShaTin,5,False,False,False,False,False,
2026-06-27_ShaTin,6,False,False,False,False,False,
2026-06-27_ShaTin,7,False,False,False,False,False,
2026-06-27_ShaTin,8,False,False,False,False,False,
2026-06-27_ShaTin,9,False,False,False,False,False,
2026-06-27_ShaTin,10,True,False,True,False,False,extreme_outsider: #11 香港仔 actual 2／odds 53 | interference: #1 得道猴王: 10 1 得道猴王 (J303) 出閘僅屬一般，其後在受向內斜跑的「電光高昇」擠迫之際收慢。四百米處至三百五十米處之間受困而未能望空。潘頓表示，坐騎在直路上對催策毫無反應，而他能提供的唯一解釋是坐騎增程角逐或更合發揮。賽後立即接受獸醫檢查，並無發現任何明顯異常之處。
2026-06-27_ShaTin,11,True,False,True,False,False,extreme_outsider: #5 金牌活力 actual 1／odds 51 | interference: #7 做好自己: 4 7 做好自己 (J444) 躍出時發生碰撞。過了一百五十米處後移至「金牌活力」外側以嘗試望空。「金牌活力」其後向外斜跑，此駒於最後一百五十米在緊貼「金牌活力」的後蹄處於窘境之際嚴重受困而未能望空，因而向外斜跑，接近五十米處時在一段途程上與「正本巨星」互相觸碰。
2026-07-01_ShaTin,1,False,False,False,True,False,injury: #6 巴閉佬: 11 6 巴閉佬 (K323) 出閘僅屬一般，其後不久被向外斜跑的「東方魅影」碰撞。奧爾民表示，他獲指示嘗試讓坐騎在直路上移出外疊，但他未能做到這點。他說，坐騎於末段衝刺時在催策下保持同速，而他認為坐騎或已屆歇暑休賽之時。賽後立即接受獸醫檢查，並無發現任何明顯異常之處。<2/7/2026獸醫報告增補> 表現令人失望的「巴閉佬」於賽後曾由主任獸醫（賽事管制）檢
2026-07-01_ShaTin,2,False,False,False,False,False,
2026-07-01_ShaTin,3,True,False,True,False,False,extreme_outsider: #11 潮流勇駒 actual 2／odds 89 | interference: #1 威武年代: 6 1 威武年代 (J451) 三百五十米處至二百五十米處之間受困而未能望空。
2026-07-01_ShaTin,4,False,False,False,False,False,
2026-07-01_ShaTin,5,False,False,True,False,False,interference: #2 笑傲江湖: 5 2 笑傲江湖 (K168) 四百米處至三百五十米處之間在「威利金箭」之後受困而未能望空。
2026-07-01_ShaTin,6,False,False,False,False,False,
2026-07-01_ShaTin,7,False,False,False,False,False,
2026-07-01_ShaTin,8,False,False,False,False,False,
2026-07-01_ShaTin,9,False,False,False,False,False,
2026-07-01_ShaTin,10,False,False,False,False,False,
2026-07-01_ShaTin,11,False,False,False,False,False,
2026-07-04_ShaTin,1,False,False,False,False,False,
2026-07-04_ShaTin,2,True,False,False,False,False,extreme_outsider: #11 駿先生 actual 2／odds 45
2026-07-04_ShaTin,3,False,False,False,False,False,
2026-07-04_ShaTin,4,False,False,False,False,False,
2026-07-04_ShaTin,5,False,False,False,False,False,
2026-07-04_ShaTin,6,False,False,False,False,False,
2026-07-04_ShaTin,7,False,False,True,False,False,interference: #4 開心孖寶: 10 4 開心孖寶 (K475) 跑離二百米處時在被「日出東方」碰撞之際失去平衡，當時「日出東方」在勒避之際向內斜跑。趨近一百五十米處時在「日出東方」與「擅搏」之間受擠迫之際大力勒避。賽後立即接受獸醫檢查，並無發現任何明顯異常之處。
2026-07-04_ShaTin,8,True,False,False,False,False,extreme_outsider: #3 創科群英 actual 3／odds 50
2026-07-04_ShaTin,9,True,False,False,False,False,extreme_outsider: #6 龍文正道 actual 2／odds 111
2026-07-04_ShaTin,10,False,False,False,False,False,
2026-07-04_ShaTin,11,False,False,False,False,False,
2026-07-08_HappyValley,1,False,False,False,False,False,
2026-07-08_HappyValley,2,False,False,False,False,False,
2026-07-08_HappyValley,3,False,False,False,False,False,
2026-07-08_HappyValley,4,False,False,True,False,False,interference: #5 好運年: 4 5 好運年 (K443) 末段在「準希望」與「焦點」之間緊迫競跑時未能被全力催策，當時「焦點」在催策下向外斜跑。賽後須抽取樣本檢驗。
2026-07-08_HappyValley,5,False,False,False,False,False,
2026-07-08_HappyValley,6,False,False,False,False,False,
2026-07-08_HappyValley,7,False,False,False,False,False,
2026-07-08_HappyValley,8,False,False,True,False,False,interference: #12 將義: 10 12 將義 (J446) 轉直路彎時在「友瑩光」之後受困而未能望空。接近二百米處時「幸運派彩」（巴度）向內斜跑，避開「極光之子」，導致「奔放」被帶向內跑壓向「一起美麗」。「一起美麗」因此向內斜跑，將「浪漫戰神」向內擠迫壓向此駒，當時此駒在「友瑩光」與「浪漫戰神」之間未能望空之際收慢。小組告誡巴度須加倍小心。賽後立即接受獸醫檢查，並無發現任何明顯異常之處
